external_id,eng_name,full_name,context,short_context,name_ko,short_name_ko
29707,M. Naderi,Mohammad Naderi,Iran,Iran,,
23129,M. Name,Moustapha Name,Senegal,Senegal,,
50030,M. Talbi,Montassar Omar Talbi,Tunisia,Tunisia,,
40392,M. Wieteska,Mateusz Wieteska,Poland,Poland,,
33144,M. Yamane,Miki Yamane,Japan,Japan,,
18944,M. Yoshida,Maya Yoshida,Japan,Japan,,
2870,N. Araújo,Néstor Alejandro Araújo Razo,Mexico,Mexico,,
8990,N. Ghandri,Nader Ghandri,Tunisia,Tunisia,,
1489,N. Gudelj,Nemanja Gudelj,Serbia,Serbia,,
955,N. Moumi Ngamaleu,Nicolas Brice Moumi Ngamaleu,Cameroon,Cameroon,,
30503,N. Nkoulou,Nicolas Julio Nkoulou Ndoubena,Cameroon,Cameroon,,
2958,N. Sliti,Naïm Sliti,Tunisia,Tunisia,,
51107,N. Tolo,Nouhou Tolo,Cameroon,Cameroon,,
2908,Na Sang-Ho,Sang-Ho Na,Korea Republic,South Korea,,
44338,Nawaf Al Abid,Nawaf Shaker Fayrouz Al Abid,Saudi Arabia,Saudi Arabia,,
61418,O. Bukari,Osman Bukari,Ghana,Ghana,,
47328,Ó. Duarte,Óscar Esaú Duarte Gaitán,Costa Rica,Costa Rica,,
50734,O. Mbaïzo,Olivier Mbaissidara Mbaïzo,Cameroon,Cameroon,,
380,Otávio,Otávio Edmilson da Silva Monteiro,Portugal,Portugal,,
1592,P. Cissé,Pape Abou Cissé,Senegal,Senegal,,
3007,P. Frankowski,Przemysław Adam Frankowski,Poland,Poland,,
30433,P. Gómez,Alejandro Darío Gómez Villaverde,Argentina,Argentina,,
3403,P. Kunde,Pierre Kunde Malong,Cameroon,Cameroon,,
2814,P. Rajković,Predrag Rajković,Serbia,Serbia,,
135148,P. Sequeira,Patrick Gilmar Sequeira Mejías,Costa Rica,Costa Rica,,
47447,P. Sisto,Pione Sisto Ifolo Emirmija,Denmark,Denmark,,
18845,P. van Aanholt,Patrick John Miguel van Aanholt,Netherlands,Netherlands,,
2056,Pablo Sarabia,Pablo Sarabia García,Spain,Spain,,
373,Pepe,Képler Laveran de Lima Ferreira,Portugal,Portugal,,
35473,R. Cota,Rodolfo Damian Cota Robles,Mexico,Mexico,,
35552,R. Funes Mori,Rogelio Gabriel Funes Mori,Mexico,Mexico,,
2585,R. Ibarra,Romario Andrés Ibarra Mina,Ecuador,Ecuador,,
2834,R. Matarrita,Ronald Alberto Matarrita Ulate,Costa Rica,Costa Rica,,
2716,R. Saïss,Romain Ghanem Paul Saïss,Morocco,Morocco,,
1298,R. Skov,Robert Faxe Skov,Denmark,Denmark,,
