external_id,eng_name,full_name,context,short_context,name_ko,short_name_ko
135775,Ansu Fati,Anssumane Fati Vieira,Spain,Monaco,,
426668,Argus Vanden Driessche,Argus Vanden Driessche,Belgium,Club Brugge KV,,
162473,Arnau Tenas,Arnau Tenas Ureña,Spain,Villarreal,,
352375,Arthur,Arthur Augusto de Matos Soares,Brazil,Bayer Leverkusen,,
8451,Aurélio Buta,Aurélio Gabriel Ulineia Buta,Portugal,Eintracht Frankfurt,,
622,Aymeric Laporte,Aymeric Jean Louis Gérard Alph Laporte,Spain,Athletic Club,,
18906,Ayoze Pérez,Ayoze Pérez Gutiérrez,Spain,Villarreal,,
494741,B. Aldashev,B. Aldashev,,Kairat Almaty,,
156428,B. Austin,Brandon Anthony Austin,England,Tottenham,,
95,B. Badiashile,Benoît Ntambue Badiashile Mukinayi Baya,France,Chelsea,,
463908,B. Bailey-Joseph,Brando Nyle Bailey-Joseph,England,Arsenal,,
357424,B. Beganović,Belmin Beganović,Bosnia and Herzegovina,Sturm Graz,,
334879,B. Bouanani,Badredine Bouanani,Algeria,Nice,,
19250,B. Brahimi,Billal Brahimi,Algeria,Nice,,
164,B. Davies,Benjamin Thomas Davies,Wales,Tottenham,,
30421,B. Djimsiti,Berat Djimsiti,Albania,Atalanta,,
31035,B. Drągowski,Bartłomiej Drągowski,Poland,Panathinaikos,,
125675,B. Fiabema,Bryan Solhaug Fiabema,Norway,Lech Poznan,,
39122,B. Finne,Bård Finne,Norway,Brann,,
130423,B. Gilmour,Billy Clifford Gilmour,Scotland,Napoli,,
486523,B. Hawighorst,Ben Hawighorst,Germany,Bayer Leverkusen,,
1535,B. Hüseynov,Badavi Hüseynov,Azerbaijan,Qarabag,,
399893,B. Kiwa,Bradel Kiwa,France,Monaco,,
264627,B. Kutlu,Berkan İsmail Kutlu,Türkiye,Galatasaray,,
659070,B. Laurendon,B. Laurendon,,Paris Saint Germain,,
24217,B. Mazikou,Bradley Lovelife Mazikou,Congo,Servette FC,,
1173,B. Meling,Birger Solberg Meling,Norway,FC Copenhagen,,
39061,B. Moe,Brede Mathias Moe,Norway,Bodo/Glimt,,
70389,B. Mustafazadə,Bəhlul Mustafazadə,Azerbaijan,Qarabag,,
127657,B. Nagy,Barnabás Szabolcs Nagy,Hungary,Ferencvarosi TC,,
48002,B. Nygren,Erik Benjamin Nygren,Sweden,Celtic,,
27985,B. Ötvös,Bence Ötvös,Hungary,Ferencvarosi TC,,
343577,B. Rice,Bailey Rice,Scotland,Rangers,,
154896,B. Sheji,Blerton Sheji,North Macedonia,Drita,,
24835,B. Tekpetey,Bernard Tekpetey,Ghana,Ludogorets,,
37652,B. van den Boomen,Branco van den Boomen,Netherlands,Ajax,,
503702,Bernard Nguene,Bernard Nguene,Cameroon,Nice,,
74563,Besnik Krasniqi,Besnik Krasniqi,Kosovo,Drita,,
3613,Blerim Krasniqi,Blerim Krasniqi,Albania,Drita,,
30497,Bremer,Gleison Bremer Silva Nascimento,Brazil,Juventus,,
