external_id,eng_name,full_name,context,short_context,name_ko,short_name_ko
277922,C. Twigt,Calvin Twigt,Netherlands,GO Ahead Eagles,,
8680,C. Vanhoutte,Charles Vanhoutte,Belgium,Nice,,
37151,C. Verdonk,Calvin Ronald Verdonk,Netherlands,Lille,,
453,C. Yüksel,Celil Yüksel,Türkiye,Samsunspor,,
449628,Cardoso Varela,Cardoso Pinto Mandume Varela,Portugal,Dinamo Zagreb,,
286559,Carlos Domínguez,Carlos Domínguez Cáceres,Spain,Celta Vigo,,
34211,Cho Gue-Sung,Gue-Sung Cho,Korea Republic,FC Midtjylland,,
445566,Christian Zawieschitzky,Christian Zawieschitzky,Austria,Red Bull Salzburg,,
400750,Christopher Olivier,Christopher Olivier,Austria,VfB Stuttgart,,
41432,Cláudio Ramos,Cláudio Pires Morais Ramos,Portugal,FC Porto,,
441958,Clement Bischoff,Clement Mutahi Bischoff,Denmark,Red Bull Salzburg,,
68,Clinton Mata,Clinton Mukoni Mata Pedro Lourenço,Angola,Lyon,,
431149,Cyriaque Kalou Irié,Cyriaque Kalou Irié,Côte d'Ivoire,SC Freiburg,,
90663,D. Avdijaj,Donis Xhemë Avdijaj,Kosovo,Wolfsberger AC,,
626715,D. Baroncioni,D. Baroncioni,,Bologna,,
182434,D. Beljo,Dion Drena Beljo,Croatia,Dinamo Zagreb,,
460580,D. Berdos,D. Berdos,,PAOK,,
126892,D. Bîrligea,George Daniel Bîrligea,Romania,FCSB,,
1627,D. Calabria,Davide Calabria,Italy,Panathinaikos,,
338045,D. Castillo,Denil Daniel Castillo Preciado,Ecuador,FC Midtjylland,,
471796,D. Chatsidis,Dimitrios Chatsidis,Greece,PAOK,,
51295,D. Cornelius,Derek Austin Cornelius,Canada,Rangers,,
539,D. de Wit,Dani de Wit,Netherlands,Utrecht,,
43002,D. Đoković,Damjan Đoković,Croatia,CFR 1907 Cluj,,
342019,D. Ghilardi,Daniele Ghilardi,Italy,AS Roma,,
61142,D. Greif,Dominik Greif,Slovakia,Lyon,,
110624,D. Gropper,Denny Gropper,Israel,Maccabi Tel Aviv,,
388570,D. Gül,Deniz Daniel Gül,Sweden,FC Porto,,
8845,D. Heymans,Daan Heymans,Belgium,Genk,,
203755,D. James,Dean Ruben James,Netherlands,GO Ahead Eagles,,
128793,D. Jurásek,David Jurásek,Czechia,Beşiktaş,,
281989,D. Khudyakov,Daniil Khudyakov,Russia,Sturm Graz,,
3380,D. Kiki,Enagnon David Kiki,Benin,FCSB,,
1725,D. Ljubičić,Dejan Ljubičić,Austria,Dinamo Zagreb,,
287,D. Lovren,Dejan Lovren,Croatia,PAOK,,
135965,D. Males,Darian Males,Switzerland,BSC Young Boys,,
938,D. Marzino,Dario Nicola Marzino,Switzerland,BSC Young Boys,,
42687,D. Miculescu,David Raul Miculescu,Romania,FCSB,,
93007,D. Min,David Min,Netherlands,Utrecht,,
340663,D. Monastirlis,Dimitrios Monastirlis,Greece,PAOK,,
37760,D. Murkin,Derry John Murkin,England,Utrecht,,
43171,D. Olaru,Darius Dumitru Olaru,Romania,FCSB,,
307117,D. Osorio,Darío Esteban Osorio Osorio,Chile,FC Midtjylland,,
485637,D. Owusu,Douglas Owusu,Ghana,FK Crvena Zvezda,,
394698,D. Pech,Dominik Pech,Czechia,BSC Young Boys,,
2374,D. Pelkas,Dimitris Pelkas,Greece,PAOK,,
18128,D. Politic,Dennis-Dorian Politic,Romania,FCSB,,
340572,D. Prpić,Dominik Prpić,Croatia,FC Porto,,
162452,D. Rensch,Devyne Fabian Jairo Rensch,Netherlands,AS Roma,,
286710,D. Scherhant,Derry Lionel Scherhant,Germany,SC Freiburg,,
19990,D. Sterling,Dujon Henriques Sterling,England,Rangers,,
551532,D. Suchy,D. Suchy,,Plzen,,
161576,D. Tsopouroglou,Dimitrios Tsopouroglou,Greece,PAOK,,
26475,D. Undav,Deniz Undav,Germany,VfB Stuttgart,,
156998,D. van den Berg,Davy van den Berg,Netherlands,Utrecht,,
13,D. Zagadou,Dan-Axel Zagadou,France,VfB Stuttgart,,
286796,Damián Rodríguez,Damián Rodríguez Sousa,Spain,Celta Vigo,,
351131,Dani Pérez,Daniel Pérez Guerrero,Spain,Real Betis,,
42007,Dani Silva,Daniel Filipe Bandeira e Silva,Portugal,FC Midtjylland,,
626330,Dani Tijman,Dani Tijman,Netherlands,GO Ahead Eagles,,
47302,Diego Llorente,Diego Javier Llorente Ríos,Spain,Real Betis,,
361371,Diego Rodrigues,Diego Henrique Oliveira Rodrigues,Portugal,SC Braga,,
369,Diogo Costa,Diogo Meireles da Costa,Portugal,FC Porto,,
56011,Dor Peretz,Dor Peretz,Israel,Maccabi Tel Aviv,,
19133,E. Alioski,Ezgjan Alioski,North Macedonia,FC Lugano,,
2869,E. Álvarez,Edson Omar Álvarez Velázquez,Mexico,Fenerbahçe,,
47579,E. Ávila,Luis Ezequiel Ávila,Argentina,Real Betis,,
500088,E. Biterge,Engin Can Biterge,Türkiye,Fenerbahçe,,
1188,E. Botheim,Erik Botheim,Norway,Malmo FF,,
529600,E. Ceesay,Ebrima Ceesay,Gambia,Samsunspor,,
48056,E. Chilufya,Edward Chilufya Jr.,Zambia,FC Midtjylland,,
140847,E. Colley,Ebrima Colley,Gambia,BSC Young Boys,,
46930,E. Demirović,Ermedin Demirović,Bosnia and Herzegovina,VfB Stuttgart,,
202526,E. Dinkçi,Eren Sami Dinkçi,Germany,SC Freiburg,,
449669,E. Doucouré,Emile Doucouré,Belgium,Genk,,
129643,E. Ferguson,Evan Joe Ferguson,Republic of Ireland,AS Roma,,
30405,E. Fernandes,Edimilson Fernandes Ribeiro,Switzerland,BSC Young Boys,,
47985,E. Holm,Emil Alfons Holm,Sweden,Bologna,,
50091,E. Kılınç,Emre Kılınç,Türkiye,Samsunspor,,
37781,E. Linthorst,Henricus Gerardus Hubertus Mar Linthorst,Netherlands,GO Ahead Eagles,,
366341,E. Lorenz,Elias Lorenz,Austria,Sturm Graz,,
598615,E. Lulli,E. Lulli,,AS Roma,,
400496,E. Madmon,Elad Madmon,Israel,Maccabi Tel Aviv,,
386287,E. Mbappé,Ethan Mbappé Lottin,France,Lille,,
471106,E. Molébé,Enzo Anthony Honoré Molébé,France,Lyon,,
626707,E. Morucci,E. Morucci,,AS Roma,,
3638,E. Muçi,Ernest Muçi,Albania,Beşiktaş,,
1807,E. Ndicka,Obite Evan Ndicka,Côte d'Ivoire,AS Roma,,
89754,E. Ólafsson,Elías Rafn Ólafsson,Iceland,FC Midtjylland,,
442866,E. Pereira,Everton Pereira da Silva,France,Nice,,
336570,E. Tıknaz,Demir Ege Tıknaz,Türkiye,Beşiktaş; SC Braga,,
50046,E. Topçu,Emirhan Topçu,Türkiye,Beşiktaş,,
594887,Elio Rufener,Elio Rufener,,BSC Young Boys,,
394221,Emir Yaşar,Emir Yaşar,Turkey,Beşiktaş,,
104808,Enric Saborit,Enric Saborit Teixidor,Spain,AEK Larnaca,,
873,F. Bernardeschi,Federico Bernardeschi,Italy,Bologna,,
25597,F. Bredlow,Fabian Bredlow,Germany,VfB Stuttgart,,
584426,F. Castaldo,F. Castaldo,,Bologna,,
570,F. Cervi,Franco Emanuel Cervi,Argentina,Celta Vigo,,
843,F. Chalov,Fedor Chalov,Russia,PAOK,,
125715,F. Daniliuc,Flavius David Daniliuc,Austria,FC Basel 1893,,
351146,F. Etim,Friday Ubi Etim,Nigeria,FC Midtjylland,,
719,F. Grillitsch,Florian Grillitsch,Austria,SC Braga,,
620019,F. Hale,F. Hale,,Celtic,,
14517,F. Kovačević,Franko Kovačević,Croatia,Ferencvarosi TC,,
25905,F. Müller,Florian Lorenz Müller,Germany,SC Freiburg,,
563400,F. Pascoal,F. Pascoal,,SC Braga,,
31098,F. Ravaglia,Federico Ravaglia,Italy,Bologna,,
37028,F. Stokkers,Finn Stokkers,Netherlands,GO Ahead Eagles,,
43038,F. Tănase,Florin Lucian Tănase,Romania,FCSB,,
339162,F. Topić,Fran Topić,Croatia,Dinamo Zagreb,,
490734,F. Tsimba,Felix Emmanuel Tsimba,Switzerland,BSC Young Boys,,
25406,F. Uduokhai,Ohis Felix Uduokhai,Germany,Beşiktaş,,
366579,F. van Breemen,Finn van Breemen,Netherlands,FC Basel 1893,,
361397,Fahri Kerem Ay,Fahri Kerem Ay,Turkey,Beşiktaş,,
135749,Félix Correia,Félix Alexandre Andrade Sanches Correia,Portugal,Lille,,
347886,Félix Garreta,Félix Martí Garreta,Spain,Real Betis,,
122734,Ferran Jutglà,Ferran Jutglà Blanch,Spain,Celta Vigo,,
394734,Finn Jeltsch,Finn Jeltsch,Germany,VfB Stuttgart,,
409750,Florian Hellstern,Florian Hellstern,Germany,VfB Stuttgart,,
47435,Fran Beltrán,Francisco José Beltrán Peinado,Spain,Celta Vigo,,
936,Fran Navarro,Francisco José Navarro Aliaga,Spain,SC Braga,,
41966,Francisco Moura,Francisco Sampaio de Moura,Portugal,FC Porto,,
340625,Franculino Djú,Franculino Gluda Djú,Guinea-Bissau,FC Midtjylland,,
483676,G. De Marzi,Giorgio De Marzi,USA,AS Roma,,
322630,G. Fabbian,Giovanni Fabbian,Italy,Bologna,,
26902,G. Giakoumakis,Georgios Giakoumakis,Greece,PAOK,,
162410,G. Konstantelias,Giannis Konstantelias,Greece,PAOK,,
137721,G. Lagerbielke,Gustaf Johan Lagerbielke,Sweden,SC Braga,,
1578,G. Lo Celso,Giovani Lo Celso,Argentina,Real Betis,,
30425,G. Mancini,Gianluca Mancini,Italy,AS Roma,,
162229,G. Michailidis,Giannis Michailidis,Greece,PAOK,,
25260,G. Nauber,Gerrit Nauber,Germany,GO Ahead Eagles,,
510898,G. Penev,Georgi Plamenov Penev,Bulgaria,Ludogorets,,
20732,G. Perrin,Gaëtan Perrin,France,Lille,,
28209,G. Szécsi,Gergő Szécsi,Hungary,Ferencvarosi TC,,
44784,G. Taylor,Greg John Taylor,Scotland,PAOK,,
312903,G. van Zwam,Giovanni van Zwam,Netherlands,GO Ahead Eagles,,
280334,G. Vidović,Gabriel Vidović,Croatia,Dinamo Zagreb,,
950,G. Wüthrich,Gregory Kwesi Wüthrich,Switzerland,BSC Young Boys,,
425819,G. Zechiël,Gjivai Zechiël,Netherlands,Utrecht,,
297303,Gabri Martínez,Gabriel Martínez Aguilera,Spain,SC Braga,,
182504,Gabri Veiga,Gabriel Veiga Novas,Spain,FC Porto,,
336683,Gabriel Brás,Gabriel Costa Brás,Portugal,FC Porto,,
415089,Gabriel Moscardo,Gabriel Silva Moscardo de Salles,Brazil,SC Braga,,
915,Gabriel Paulista,Gabriel Armando de Abreu,Brazil,Beşiktaş,,
569,Gedson Fernandes,Gedson Carvalho Fernandes,Portugal,Beşiktaş,,
392556,Georgios Marios Katris,Georgios Marios Katris,Greece,Panathinaikos,,
392455,Germán García,Germán García Fernández,Spain,Real Betis,,
400550,Gonçalo Santos Sousa,Gonçalo Santos Sousa,Portugal,FC Porto,,
46982,Gonzalo Villar,Gonzalo Villar del Fraile,Spain,Dinamo Zagreb,,
629173,H. Agboluaje,H. Agboluaje,,Feyenoord,,
560930,H. Burcio,H. Burcio,,Celta Vigo,,
67889,H. Haraldsson,Hákon Arnar Haraldsson,Iceland,Lille,,
48564,H. Lindner,Heinz Lindner,Austria,BSC Young Boys,,
451828,H. Tan,Haluk Mustafa Tan,Türkiye,Samsunspor,,
8632,H. Van Crombrugge,Hendrik Van Crombrugge,Belgium,Genk,,
625427,Haydar Karataş,Haydar Karatas,Turkey,Fenerbahçe,,
1439,Héctor Bellerín,Héctor Bellerín Moruno,Spain,Real Betis,,
279818,Heitor,Heitor Marinho dos Santos,Brazil,Maccabi Tel Aviv,,
291024,Hélio Varela,Hélio Sandro Oliveira Alves Varela,Portugal,Maccabi Tel Aviv,,
329720,Hugo Álvarez,Hugo Álvarez Antúnez,Spain,Celta Vigo,,
313651,Hugo Sotelo,Hugo Sotelo Gómez,Spain,Celta Vigo,,
643580,Hulusi Efe Ceylan,Hulusi Efe Ceylan,,Fenerbahçe,,
380780,I. Bangoura,Ibrahima Sory Bangoura,Guinea,Genk,,
271833,I. Ben Hamo,Itay Ben Hamo,Israel,Maccabi Tel Aviv,,
576889,I. Ben Simon,I. Ben Simon,,Maccabi Tel Aviv,,
14406,I. Filipović,Ivan Filipović,Croatia,Dinamo Zagreb,,
202696,I. Matanović,Igor Matanović,Croatia,SC Freiburg,,
162123,I. Moriba,Moriba Kourouma Kourouma,Guinea,Celta Vigo,,
14532,I. Nevistić,Ivan Nevistić,Croatia,Dinamo Zagreb,,
7783,I. Nicolăescu,Ion Nicolăescu,Moldova,Maccabi Tel Aviv,,
161826,I. Noy,Itamar Noy,Israel,Maccabi Tel Aviv,,
361393,I. Ogbus,Bruno Ifechukwu Ogbus,Switzerland,SC Freiburg,,
30765,I. Radu,Ionuț Andrei Radu,Romania,Celta Vigo,,
375000,I. Salah,Ibrahim Salah,Morocco,FC Basel 1893,,
137531,I. Shahar,Ido Shahar,Israel,Maccabi Tel Aviv,,
206361,I. Sissokho,Issouf Bemba Sissokho,Mali,Maccabi Tel Aviv,,
47445,Iago Aspas,Iago Aspas Juncal,Spain,Celta Vigo,,
637590,Iason Skarlatidis,Iason Skarlatidis,,Panathinaikos,,
493653,Idan Weinberg,Idan Weinberg,Israel,Maccabi Tel Aviv,,
745,Isco,Francisco Román Alarcón Suárez,Spain,Real Betis,,
635855,Itay Zafrani,Itay Zafrani,,Maccabi Tel Aviv,,
450714,Ivan Corralejo,Iván Corralejo Mantero,Spain,Real Betis,,
47427,Iván Villar,Iván Villar Martínez,Spain,Celta Vigo,,
544644,J. A. Morante,J. A. Morante,,Real Betis,,
125173,J. Adamu,Junior Chukwubuike Adamu,Austria,Celtic; SC Freiburg,,
386852,J. Agbonifo,Jeremy Nosakhare Agbonifo,Sweden,FC Basel 1893,,
1926,J. Aidoo,Joseph Aidoo,Ghana,Celta Vigo,,
2999,J. Bednarek,Jan Kacper Bednarek,Poland,FC Porto,,
474782,J. Bello,James Bello,Nigeria,Plzen,,
25313,J. Beste,Jan-Niklas Beste,Germany,SC Freiburg,,
262677,J. Breum,Jakob Breum Martinsen,Denmark,GO Ahead Eagles,,
38112,J. Chabot,Julian Jeffrey Gaston Chabot,Germany,VfB Stuttgart,,
551537,J. Chalupa,J. Chalupa,,Plzen,,
91389,J. Cisotti,Juri Cisotti,Italy,FCSB,,
1947,J. Dahlin,Johan Helge Dahlin,Sweden,Malmo FF,,
3399,J. Dawa,Joyskim Aurélien Dawa Tchakonte,Cameroon,FCSB,,
8470,J. De Busser,Jari De Busser,Belgium,GO Ahead Eagles,,
162200,J. Dirksen,Julius Dirksen,Netherlands,GO Ahead Eagles,,
416063,J. Eikrem,Jesper Nerhus Eikrem,Norway,Brann,,
351913,J. El Abdellaoui,Jones El Abdellaoui,Norway,Celta Vigo,,
349185,J. Enem,Jay Ifeanyi-Junior Enem,Netherlands,FK Crvena Zvezda,,
288078,J. Erabi,Jusef Erabi,Sweden,Genk,,
271539,J. Hadjam,Jaouen Djimmy Hadjam,Algeria,BSC Young Boys,,
25904,J. Huth,Jannik Huth,Germany,SC Freiburg,,
1942,J. Ito,Junya Ito,Japan,Genk,,
21098,J. Kayembe,Joris Kayembe Ditu,Congo DR,Genk,,
18760,J. Kenny,Jonjoe Kenny,England,PAOK,,
